rating,ratingUrl,upc,thumbnailUrl,zone,currencyUnit,section,0,score,WWWItemId,uOM,productId,status,reviewCount,priceInCents,pPU,atime,isWWWItem,name,largeUrl,aisle,storeDeptId,isRealTime,pPUM,walmartCanonicalUrl,quantity
4.67,https://i2.walmartimages.com/i/CustRating/4_7.gif,3700090518,https://i5.walmartimages.com/asr/ea80d3c5-41f2-43ae-a51f-e2963b96d378_1.3058b5acf35782f6bde1ba20ab1ddd0c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,1,A.19,0.6499738,35841312,ea,1N0G6DL6XEJT,Limited Stock,1906,597,85.3,2017-04-24 23:33:37.144406,True,Household Essentials,https://i5.walmartimages.com/asr/ea80d3c5-41f2-43ae-a51f-e2963b96d378_1.3058b5acf35782f6bde1ba20ab1ddd0c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,19,-1,True,cents,/ip/Mr.-Clean-Original-Magic-Eraser-Cleaning-Pads-7-count/35841312,4
4.587,https://i2.walmartimages.com/i/CustRating/4_6.gif,84105800524,https://i5.walmartimages.com/asr/6b330564-d02a-4767-93d7-84d8ebc7967c_1.c9b978643cdbf7298a9732e595890dd9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,G,USD,2,G.15,0.64715034,16940682,oz,2LVPELUFUT4B,In Stock,46,297,42.4,2017-04-24 23:33:37.144643,True,Beauty,https://i5.walmartimages.com/asr/6b330564-d02a-4767-93d7-84d8ebc7967c_1.c9b978643cdbf7298a9732e595890dd9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,15,-1,True,cents,/ip/Edge-Extra-Protection-Shave-Gel-7-oz/16940682,15
4.76,https://i2.walmartimages.com/i/CustRating/4_8.gif,1410007481,https://i5.walmartimages.com/asr/ba0eb748-3864-4e2b-97fe-3bfae74d5e37_1.f83bdff729d91d10411a34fba3132a7f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,J,USD,1,J.6,0.6337625,10535448,oz,5XI1J81H7UTD,In Stock,25,298,42.6,2017-04-24 23:33:37.144753,True,Food,https://i5.walmartimages.com/asr/ba0eb748-3864-4e2b-97fe-3bfae74d5e37_1.f83bdff729d91d10411a34fba3132a7f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,6,-1,True,cents,/ip/Pepperidge-Farm-Milano-Raspberry-Cookies-7-Oz/10535448,9
4.75,https://i2.walmartimages.com/i/CustRating/4_8.gif,7874211118,https://i5.walmartimages.com/asr/419078bb-679c-472f-8dd2-4bfc4d48b197_1.a5a84b31e758238e4c9b37d293494073.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,7,A.12,0.6319216,52796312,,0ZRTFARZLYQH,In Stock,8,198,,2017-04-24 23:33:37.144849,True,Food,https://i5.walmartimages.com/asr/419078bb-679c-472f-8dd2-4bfc4d48b197_1.a5a84b31e758238e4c9b37d293494073.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12,-1,True,,/ip/Organic-Great-Value-Unsweetened-Coconut-Flakes-7-oz/52796312,16
4.6667,https://i2.walmartimages.com/i/CustRating/4_7.gif,1410007947,https://i5.walmartimages.com/asr/eecd6c52-8092-4187-8deb-f84d5a494cd4_1.1c4804c145551ea6ac50ba09d4d3cfb9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,J,USD,1,J.6,0.6262353,10294704,oz,7EAD758XQJNO,Limited Stock,21,298,42.6,2017-04-24 23:33:37.144946,True,Food,https://i5.walmartimages.com/asr/eecd6c52-8092-4187-8deb-f84d5a494cd4_1.1c4804c145551ea6ac50ba09d4d3cfb9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,6,-1,True,cents,/ip/Pepperidge-Farm-Milano-Mint-Cookies-7-Oz/10294704,2
4.8667,https://i2.walmartimages.com/i/CustRating/4_9.gif,7142909101,https://i5.walmartimages.com/asr/3b89176a-7914-4195-a932-6a629ccedfb3_1.74195c7c26d1edba93ec37b01f8644cf.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,13,A.8,0.5882251,10293281,oz,7K3H4X43EF2A,In Stock,15,154,22.0,2017-04-24 23:33:37.145042,True,Food,https://i5.walmartimages.com/asr/3b89176a-7914-4195-a932-6a629ccedfb3_1.74195c7c26d1edba93ec37b01f8644cf.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,8,-1,True,cents,/ip/Zatarain-s-New-Orleans-Style-Gumbo-Mix-With-Rice-7-oz/10293281,9
4.5294,https://i2.walmartimages.com/i/CustRating/4_5.gif,2149600059,https://i5.walmartimages.com/asr/d5593061-2a58-4711-84c9-047ba2d00591_1.891a3ea760102a9f9daa7e4d2ea696d1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,Y,USD,2,Y.8,0.60724646,10902054,lb,4YSKN1LJ9Q4J,In Stock,34,846,1.21,2017-04-24 23:33:37.145137,True,Patio & Garden,https://i5.walmartimages.com/asr/d5593061-2a58-4711-84c9-047ba2d00591_1.891a3ea760102a9f9daa7e4d2ea696d1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,8,-1,True,dollars,/ip/Safflower-Seek-7-lbs/10902054,17
3.9333,https://i2.walmartimages.com/i/CustRating/3_9.gif,4316890912,https://i5.walmartimages.com/asr/c1e27989-0d21-43e9-9d7e-e1f52d3ecfc4_1.0197b0ba29b28d92d75526d1cf3a2e13.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,,,,0.5820384,17163615,,7DXFCCYFOHWN,In Stock,15,,,2017-04-24 23:33:37.145209,True,Home Improvement,https://i5.walmartimages.com/asr/c1e27989-0d21-43e9-9d7e-e1f52d3ecfc4_1.0197b0ba29b28d92d75526d1cf3a2e13.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,,-1,True,,/ip/General-Electric-44548-GE-green-party-light-25-watt-A19-1-pack/17163615,6
3.5,https://i2.walmartimages.com/i/CustRating/3_5.gif,4316866282,https://i5.walmartimages.com/asr/b5780dd3-41f2-4e46-8181-59c4478b720e_1.5357b3e53bdce4e36280387d4f3c20bb.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,L,USD,6,L.3,0.57765347,21695128,,1ZKL7B3PNSLQ,Limited Stock,10,1544,,2017-04-24 23:33:37.145293,True,Home Improvement,https://i5.walmartimages.com/asr/b5780dd3-41f2-4e46-8181-59c4478b720e_1.5357b3e53bdce4e36280387d4f3c20bb.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3,-1,True,,/ip/General-Electric-66282-GE-energy-efficient-halogen-90-watt-PAR38-floodlight-2-pack/21695128,3
4.5,https://i2.walmartimages.com/i/CustRating/4_5.gif,4303357811,https://i5.walmartimages.com/asr/2dbf45aa-898f-4df7-805d-b199c22273f0_1.c60ba358e276e93850a73f46733473b0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,Y,USD,5,Y.7,0.56887406,54778313,,6BX1I7QGBCJK,In Stock,10,25800,,2017-04-24 23:33:37.145393,True,Patio & Garden,https://i5.walmartimages.com/asr/2dbf45aa-898f-4df7-805d-b199c22273f0_1.c60ba358e276e93850a73f46733473b0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,7,-1,True,,/ip/Snapper-140cc-FWD-SP-Mower-3-N-1-21-Deck/54778313,8
